id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,age,gender,edu,income,marital_status,religion, employment,employment_condition
207,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,1,2
208,2,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,1,2,3,2,4,2,1,2
209,2,2,3,3,2,2,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,,3,2,3,1,1,2
210,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,3,3,2,4,,1,1,1,1
211,4,4,3,4,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,,2,2,3,1,3
212,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,,3,1,1,1,1
213,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,1,3,2,2,3,1,2
214,4,3,4,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,2,3,2,2,2,2,3,2,2,3,2,3,2,4,1,1,1
215,2,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,1,1,2,3,3,4,1,1,2
216,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,,3,3,4,1,1,2
217,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,2,3,3,3,3,3,2,1,4,4,1,,1,1
218,3,2,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,3,3,2,2,2,1,2,3,3,4,3,1,1
219,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,3,2,2,3,3,1,1,1,1
220,2,3,2,3,3,2,4,4,4,3,3,3,3,3,3,2,3,3,3,2,4,4,2,2,2,2,2,2,1,2,4,3,1,1,1,1
221,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,2,4,4,2,2,2,2,2,2,3,2,3,2,1,,1,2
222,2,3,3,2,2,3,3,3,3,3,2,3,3,2,3,3,2,3,4,4,3,3,3,2,3,3,3,2,1,2,4,4,2,3,1,1
223,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,1,3
224,2,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,2,3,2,4,2,1,2
225,3,4,3,2,2,2,3,3,2,2,3,2,2,2,2,1,2,2,1,2,2,2,2,3,1,3,2,4,4,2,3,2,4,1,1,3
226,1,1,1,1,1,1,3,2,3,3,3,2,4,4,4,4,4,4,3,2,2,2,2,4,4,4,3,3,1,2,4,5,1,2,1,2
227,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,1,1,4,2,4,4,1,4
228,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,4,4,3,3,2,3,3,2,2,3,3,4,1,1,2
229,3,3,4,2,1,2,3,3,3,3,4,2,4,,3,3,,2,2,4,4,5,4,4,3,3,3,1,1,2,4,3,1,1,1,1
230,3,3,3,3,2,2,4,3,3,4,3,2,3,3,4,3,3,2,5,2,4,2,2,2,2,2,3,3,2,2,3,3,2,3,1,1
231,1,1,2,2,1,3,4,3,4,4,3,3,3,4,4,3,3,3,4,4,4,3,4,3,4,3,4,4,3,2,3,3,1,1,1,4
232,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3,3,3,4,3,4,4,3,4,3,3,5,5,5,3,2,,3,1,1,1,4
233,3,3,3,3,3,3,3,3,3,4,4,4,3,2,4,1,3,3,3,3,3,3,2,3,3,3,3,3,4,1,2,2,4,1,1,1
234,4,4,4,4,4,4,2,2,3,3,2,2,2,2,2,3,2,2,4,2,2,4,2,2,2,2,2,2,3,1,4,2,1,1,1,2
235,2,2,4,4,4,4,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,3,1,4,1,1,1,1,2
236,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,1,4,1,1,1,1,2
237,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,1,4,2,1,1,1,2
238,1,5,3,4,2,2,2,1,3,1,2,1,,,,,,,3,1,1,1,2,1,3,1,1,3,1,2,3,2,5,1,1,3
239,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,3,1,4,1,1,1,1,2
240,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,4,2,1,1,1,2
241,2,2,2,3,3,3,4,3,3,3,3,3,4,4,5,4,5,5,5,4,5,5,4,4,4,5,4,4,2,2,4,3,1,1,1,2
242,3,2,3,2,3,3,4,4,3,3,3,3,3,3,3,4,3,5,5,3,3,2,1,3,2,3,3,4,1,2,3,2,3,4,1,2
243,2,3,2,2,2,2,3,4,5,3,3,4,4,5,5,4,5,5,5,4,5,5,4,4,4,5,5,5,3,2,4,4,2,2,1,4
